spotify_id	title	artist	release_date
	Fullfillingness' First Finale	Stevie Wonder	1974
	Fun House	Iggy Pop & The Stooges	1970
	G Love & Special Sauce	G Love & Special Sauce	1994
	Gentleman	The Afghan Whigs	1993
	George Gershwin Songbook	Ella Fitzgerald	1959
	Getz/Gilberto	Stan Getz/Joao Gilberto	1964
	Green	REM	1989
	Green Onions	Booker T & The MGs	1962
	Grevious Angel	Gram Parsons	1973
	Gris Gris	Dr John	1969
	Headhunters	Herbie Hancock	1974
	Hejeira	Joni Mitchell	1976
	Henry's Dream	Nick Cave & the Bad Seeds	1992
	Highway to Hell	AC/DC	1979
	Hiphoprisy Is The Greatest Luxury	Disposable Heroes of Hiphoprisy	1992
	Honky Tonk Masquarade	Joe Ely	1978
	Hotel California	The Eagles	1976
	Hunting High And Low	A-Ha	1985
	I	Peter Gabriel	1977
	I Never Loved a Man the Way That I Love You	Aretha Franklin	1967
	I See A Darkness	Bonnie 'Prince' Billy	1998
	I Want To See The Bright Lights Tonight	Richard & Linda Thompson	1974
	III	Peter Gabriel	1980
	Idlewild	Everything But the Girl	1988
	In Rainbows	Radiohead	2007
	In The Court of the Crimson King	King Crimson	1969
	Infected	The The	1986
	It's Too Late To Stop Now	Van Morrison	1974
	Jazz Samba	Stan Getz/Charlie Byrd	1962
	Kala	MIA	2007
	Kick Out The Jams	The MC5	1969
	Kollaps	Einsturzende	1981
	Lam Toro	Baaba Maal	1992
	Larks Tongues In Aspic	King Crimson	1973
	Last fo the True Believers	Nanci Griffith	1986
	Layla And Other Assorted Lovesongs	Derek And The Dominos	1970
	Led Zeppelin I	Led Zeppelin	1969
	Led Zeppelin IV (Four Symbols)	Led Zeppelin	1971
	Liquid Swords	Genius/GZA	1995
	Live At The Harlem Square Club	Sam Cooke	1963
	Live At The Regal	BB King	1965
	Live at Mister Kelly's	Sarah Vaughan	1958
	Live/Dead	The Grateful Dead	1970
	Logical Progression	LTJ Bukem	1996
	Lost Souls	The Doves	2000
	Mamas And The Papas	Mamas And The Papas	1966
	Maverick A Strike	Finlay Quaye	1997
	Me Against the World	Tupac Shakur	1994
	Meat Puppets II	Meat Puppets	1983
	Melody A.M.	Royksopp	2001
	Mermaid Avenue	Billy Bragg/Wilco	1998
	Metal Box/Second Edition	Public Image	1979
	Midnight Ride	Paul Revere and the Raiders	1966
	Modern Sounds In Country And Western Music	Ray Charles	1962
	Movies	Holger Czukay	1979
	Murder Ballads	Nick Cave & the Bad Seeds	1996
	Murmur	REM	1983
	Music	Madonna	2000
	Music From The Penguin Cafe Orchestra	The Penguin Cafe Orchestra	1977
	Never Mind The Bollocks…	The Sex Pistols	1977
	New Boots & Panties	Ian Dury & the Blockheads	1977
	New Forms	Roni Size/Reprazent	1997
	Next	The Sensational Alex Harvey Band	1973
	Night Life	Ray Price	1963
	Nixon	Lambchop	2000
	No.1 Record	Big Star	1972
	O.G. Original Gangster	Ice-T	1991
	OK	Talvin Singh	1998
	Ocean Rain	Echo & The Bunnymen	1984
	Odessa	The Bee Gees	1969
	Ogden's Nut Gone Flake	The Small Faces	1968
	One Nation Under A Groove	Funkadelic	1978
	Orbital II	Orbital	1993
	Oxygene	Jean Michel-Jarre	1977
	People's Instinctive Paths	A Tribe Called Quest	1990
	Planet Rock: The Album	Afrika Bambaataa	1986
	Playing with Fire	Spacemen 3	1989
	Porcupine	Echo & The Bunnymen	1983
	Pronounced Leh-nerd Skin-nerd	Lynyrd Skynyrd	1973
	Psychocandy	The Jesus & Mary Chain	1985
	Purple Rain	Prince and The Revolution	1984
	Pyromania	Def Leppard	1983
	Qui Seme Le Vent Recolte Le Tempo	MC Solar	1993
	Raising Hell	Run-DMC	1986
	Raw Power	Iggy Pop & The Stooges	1973
	Red Dirt Girl	Emmylou Harris	2000
	Redheaded Stranger	Willie Nelson	1975
	Regatta De Blanc	The Police	1979
	Revolver	The Beatles	1966
	Rhythm Nation 1814	Janet Jackson	1989
	Rid Of Me	P.J. Harvey	1993
	Rising Above Bedlam	Jah Wobble And the Invaders of the Heart	1991
	Risqué	Chic	1979
	Rock & Soul	Solomon Burke	1964
	Roots	Sepultura	1996
	Run-DMC	Run-DMC	1984
	Safe As Milk	Captain Beefheart and His Magic Band	1967
	Schleep	Robert Wyatt	1997
	Seldom See Kid	Elbow	2008
	Selected Ambient Works '85–'92	Aphex Twin	1992
	Sgt Pepper's Lonely Hearts Club Band	The Beatles	1967
	Shalimar / College Girl	R.D.Burman / Bappi Lahiri	1975
	She's So Unusual	Cindy Lauper	1984
	Siembra	Ruben Blades & Willie Colón	1978
	Sincere	MJ Cole	2000
	Slayed?	Slade	1972
	Smoker's Delight	Nightmares on Wax	1995
	So	Peter Gabriel	1986
	Sometimes I Wish I Were an Eagle	Bill Callahan	2009
	Songs from the Big Chair	Tears for Fears	1985
	Speakerboxxx/The Love Below	Outkast	2003
	Stankonia	Outkast	2000
	Stephen Stills	Manassas	1973
	Straight Outta Compton	NWA	1988
	Street Signs	Ozomatli	2004
	Suba	Sao Paulo Tales	1999
	Sulk	The Associates	1982
	Superfly	Curtis Mayfield	1972
	Surfer Rosa	The Pixies	1988
	Talk Talk Talk	Psychedelic Furs	1981
	Talking Timbuktu	Ali Farka Toure with Ry Cooder	1994
	Tank Battles	Dagmar Krause	1988
	Teenage Head	The Flamin' Groovies	1971
	The ArchAndroid	Janelle Monae	2010
	The Beatles (White Album)	The Beatles	1968
	The Blueprint	Jay-Z	2001
	The Boatman's Call	Nick Cave and the Bad Seeds	1997
	The Call of the Valley	Shivkumar Sharma/Brijbushan Kabra/Hariprasad Chaurasia	1968
	The Chronic	Dr Dre	1993
	The Contino Sessions	Death in Vegas	1999
	The Gilded Palace of Sin	The Flying Burrito Brothers	1969
	The Healer	John Lee Hooker	1989
	The Holy Bible	The Manic Street Preachers	1994
	The Köln Concert	Keith Jarrett	1975
	The Lamb Lies Down On Broadway	Genesis	1974
	The Last Broadcast	The Doves	2002
	The Message	Grand Master Flash & the Furious Five	1982
	The Modern Dance	Pere Ubu	1977
	The Poet	Bobbie Womack	1981
	The Score	The Fugees	1996
	The Slider	T Rex	1972
	The Sound of Silver	LCD Soundsystem	2007
	The Tom Tom Club	The Tom Tom Club	1981
	The Trinity Sessions	Cowboy Junkies	1988
	The Virgin Suicides	Air	2000
	The Visitors	Abba	1981
	The White Room	KLF	1990
	The World Is A Ghetto	War	1972
	There's No Place Like America Today	Curtis Mayfield	1975
	There's a Riot Goin' On	Sly and and The Family Stone	1971
	Third	Soft Machine	1970
	Three Feet High and Rising	De La Soul	1989
	Time (The Revelator)	Gillian Welch	2001
	Today!	The Beach Boys	1965
	Tom Petty & the Heartbreakers	Tom Petty & the Heartbreakers	1977
	Too Rye-Ay	Dexy's Midnight Runners	1982
	Trafalgar	The Bee Gees	1971
	Trio	Emmylou Harris, Lisa Rondstadt, Dolly Parton	1987
	Trout Mask Replica	Captain Beefheart and His Magic Band	1969
	Truth	Jeff Beck Group	1968
	Twelve Dreams of Doctor Sardonicus	Spirit	1970
	Venus Luxure No1 Baby	Girls Against Boys	1993
	Very	Pet Shops Boys	1993
	Volume 4	Black Sabbath	1972
	Walking Wounded	Everything But the Girl	1996
	War	U2	1983
	Warehouse: Songs & Stories	Hüsker Dü	1987
	Water From An Ancient Well	Abdullah Ibrahim	1985
	We're Only in it for the Money	The Mothers of Invention	1967
	Welcome to the Aftterfuture	Mike Ladd	2000
	What's Goin' On	Marvin Gaye	1971
	What's That Noise?	Coldcut	1989
	Winter in America	Gill Scott-Heron	1974
	Ys	Joanna Newsom	2006
	nnervisions	Stevie Wonder	1973
	tori amos	The Adverts	1978
